﻿ID,"Título (Original)","Título (Traducción)","URL del Post (Original)","URL del Post (Traducción)","URL Imagen Destacada",Dies,Nivells,Sectors,"Tipus de tallers","Translation Priorities"
21312,"Pinta tu propia cerámica","Pinta la teva pròpia ceràmica",https://handmadefestivalbcn.com/es/taller-2026/pinta-tu-propia-ceramica-2/,https://handmadefestivalbcn.com/es/taller-2026/pinta-tu-propia-ceramica-2/,https://handmadefestivalbcn.com/wp-content/uploads/2026/04/pyop2-Adriana-Saenz.webp,"Domingo 17, Jueves 14, Sábado 16, Viernes 15",,Cerámica,"Taller Express",
21210,"Experiencia de iniciación al torno: manos al barro","Experiència d’iniciació al torn: mans al fang",https://handmadefestivalbcn.com/es/taller-2026/experiencia-de-iniciacion-al-torno-manos-al-barro/,https://handmadefestivalbcn.com/es/taller-2026/experiencia-de-iniciacion-al-torno-manos-al-barro/,https://handmadefestivalbcn.com/wp-content/uploads/2026/04/Tallerdetorn.webp,"Domingo 17, Jueves 14, Sábado 16, Viernes 15",,Cerámica,"Taller Express",Opcional
21156,"150 años de materia: Los secretos para elegir bien tu pasta cerámica","150 anys de matèria: Els secrets per triar bé la teva pasta ceràmica",https://handmadefestivalbcn.com/es/taller-2026/150-anos-de-materia-los-secretos-para-elegir-bien-tu-pasta-ceramica/,https://handmadefestivalbcn.com/es/taller-2026/150-anos-de-materia-los-secretos-para-elegir-bien-tu-pasta-ceramica/,https://handmadefestivalbcn.com/wp-content/uploads/2026/04/masterclass.webp,"Sábado 16",,Cerámica,Masterclass,Opcional
21140,"MODELADO DE UN RETRATO","MODELAT D&#8217;UN RETRAT",https://handmadefestivalbcn.com/es/taller-2026/modelado-de-un-retrato/,https://handmadefestivalbcn.com/es/taller-2026/modelado-de-un-retrato/,https://handmadefestivalbcn.com/wp-content/uploads/2026/04/DEMETER-natalia-ferre-mateu.webp,,,Cerámica,Masterclass,Opcional
21084,"Pintura sobre ceramica: plato de verano","Pintura sobre gres blanc: plat d&#8217;estiu",https://handmadefestivalbcn.com/es/taller-2026/pintura-sobre-ceramica-plato-de-verano-2/,https://handmadefestivalbcn.com/es/taller-2026/pintura-sobre-ceramica-plato-de-verano-2/,https://handmadefestivalbcn.com/wp-content/uploads/2026/04/uc-17.png,"Domingo 17, Jueves 14, Sábado 16, Viernes 15",,Cerámica,"Taller Atelier",Opcional
21085,"Taller de tallado en jarrón","Taller de gravat de gerros",https://handmadefestivalbcn.com/es/taller-2026/taller-de-tallado-en-jarron-2/,https://handmadefestivalbcn.com/es/taller-2026/taller-de-tallado-en-jarron-2/,https://handmadefestivalbcn.com/wp-content/uploads/2026/04/uc-21.png,"Domingo 17, Jueves 14, Sábado 16, Viernes 15",,Cerámica,"Taller Atelier",Opcional
21086,"Esgrafiado sobre azulejos","Esgrafiat en rajoles",https://handmadefestivalbcn.com/es/taller-2026/esgrafiado-sobre-azulejos-2/,https://handmadefestivalbcn.com/es/taller-2026/esgrafiado-sobre-azulejos-2/,https://handmadefestivalbcn.com/wp-content/uploads/2026/04/uc-26.png,"Sábado 16, Viernes 15",,Cerámica,"Taller Atelier",Opcional
21087,"Bandeja de cerámica romantica","Safata de ceràmica romàntica",https://handmadefestivalbcn.com/es/taller-2026/bandeja-de-ceramica-romantica-2/,https://handmadefestivalbcn.com/es/taller-2026/bandeja-de-ceramica-romantica-2/,https://handmadefestivalbcn.com/wp-content/uploads/2026/04/uc-31.png,"Domingo 17, Sábado 16, Viernes 15",,Cerámica,"Taller Atelier",Opcional
21089,"Crea tu jarrón de cerámica a partir de un molde","Crea el teu gerro de ceràmica a partir d’un motlle",https://handmadefestivalbcn.com/es/taller-2026/crea-tu-jarron-de-ceramica-a-partir-de-un-molde-2/,https://handmadefestivalbcn.com/es/taller-2026/crea-tu-jarron-de-ceramica-a-partir-de-un-molde-2/,https://handmadefestivalbcn.com/wp-content/uploads/2026/04/uc-114.jpeg,"Jueves 14, Viernes 15",,Cerámica,"Taller Atelier",Opcional
21090,"Crea tus flores en porcelana","Crea les teves flors en porcellana",https://handmadefestivalbcn.com/es/taller-2026/crea-tus-flores-en-porcelana-2/,https://handmadefestivalbcn.com/es/taller-2026/crea-tus-flores-en-porcelana-2/,https://handmadefestivalbcn.com/wp-content/uploads/2026/04/uc-117.jpeg,"Jueves 14",,Cerámica,"Taller Atelier",Opcional
21102,"Pinta tu propia cerámica","Pinta la teva pròpia ceràmica",https://handmadefestivalbcn.com/es/taller-2026/pinta-tu-propia-ceramica/,https://handmadefestivalbcn.com/es/taller-2026/pinta-tu-propia-ceramica/,https://handmadefestivalbcn.com/wp-content/uploads/2026/04/uc-36.png,,,Cerámica,"Taller Atelier",Opcional
21074,"Modela un gato con tus manos","Modela un gat amb les teves mans",https://handmadefestivalbcn.com/es/taller-2026/modela-un-gato-con-tus-manos/,https://handmadefestivalbcn.com/es/taller-2026/modela-un-gato-con-tus-manos/,https://handmadefestivalbcn.com/wp-content/uploads/2026/04/uc-92.jpeg,"Domingo 17, Jueves 14, Sábado 16, Viernes 15",,Cerámica,"Taller Atelier",Opcional
21075,"Aprende a modelar la cabeza de un zorro","Aprèn a modelar el cap d&#8217;una guineu",https://handmadefestivalbcn.com/es/taller-2026/aprende-a-modelar-la-cabeza-de-un-zorro/,https://handmadefestivalbcn.com/es/taller-2026/aprende-a-modelar-la-cabeza-de-un-zorro/,https://handmadefestivalbcn.com/wp-content/uploads/2026/04/uc-96.jpeg,"Domingo 17, Sábado 16, Viernes 15",,Cerámica,"Taller Atelier",Opcional
20538,"¡Naturaleza en tu plato!","Naturalesa al teu plat!",https://handmadefestivalbcn.com/es/taller-2026/naturaleza-en-tu-plato/,https://handmadefestivalbcn.com/es/taller-2026/naturaleza-en-tu-plato/,https://handmadefestivalbcn.com/wp-content/uploads/2026/04/WhatsApp-Image-2026-04-08-at-13.45.31.jpeg,"Domingo 17, Sábado 16, Viernes 15",,Cerámica,"Taller Express",Opcional
